phase,source_url,destination_url,anchor_text,link_context,destination_status,source_depth,destination_depth
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/about/,About,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/contact/,Contact,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/projects/,Projects,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/about/,About,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/contact/,Contact,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/,Home,navigation,200,3,0
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/tag/wordpress/,WordPress,navigation,200,3,2
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/going-all-in-with-wp-dispensary/,full time,article,200,3,3
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/wp-dispensary-v2/,WPD v2.0,article,200,3,3
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Stattic v1.0: The World’s Fastest Python-based Static Site Generator,article,200,3,1
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios,article,200,3,2
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,The Fastest Way for PHP Devs to Learn Python,article,200,3,2
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/feed/index.xml,RSS,navigation,200,3,unknown
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/llms.txt,LLMs,navigation,200,3,unknown
baseline,https://robertdevore.com/back-to-basics/,https://robertdevore.com/sitemap.xml,Sitemap,navigation,200,3,unknown
baseline,https://robertdevore.com/blog/,https://robertdevore.com/,RD:// Robert DeVore,header,200,1,0
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/,Writing,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/projects/,Projects,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/about/,About,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/contact/,Contact,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/,Writing,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/projects/,Projects,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/about/,About,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/contact/,Contact,navigation,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/forever-forward/,[non-text link],section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/forever-forward/,Forever Forward,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/forever-forward/,Read Article,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,[non-text link],section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,Zero Cool CLI – A Hacker’s Terminal from 1995,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/zero-cool-cli-a-hackers-terminal-from-1995/,Read Article,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,[non-text link],section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Stattic v1.0: The World’s Fastest Python-based Static Site Generator,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/stattic-v1-0-the-worlds-fastest-python-based-static-site-generator/,Read Article,section,200,1,1
baseline,https://robertdevore.com/blog/,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,Complete Beginner’s Guide: Building a Python URL Checker for Google Sheets,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,Grateful to See 20 of My WordPress Plugins Live On at WebDevStudios,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,I Just Launched a Python Course for PHP Developers,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-just-launched-a-python-course-for-php-developers/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,The Fastest Way for PHP Devs to Learn Python,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/the-fastest-way-for-php-devs-to-learn-python/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,WordPress & WooCommerce plugins I will no longer maintain,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wordpress-woocommerce-plugins-i-will-no-longer-maintain/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/goodbye-wordpress-a-eulogy/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/goodbye-wordpress-a-eulogy/,Goodbye WordPress: A Eulogy,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/goodbye-wordpress-a-eulogy/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,I Built a Python Stego-Cipher Tool (And You Can Have It),section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/i-built-a-python-stego-cipher-tool-and-you-can-have-it/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,WP Townhall 13: The Debate Kevin Geary Doesn’t Want You to See,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/wp-townhall-13-the-debate-kevin-geary-doesnt-want-you-to-see/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,[non-text link],section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,Introducing: Markdown Comments for WordPress®,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/introducing-markdown-comments-for-wordpress/,Read Article,section,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/page/2/,2,navigation,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/page/3/,3,navigation,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/page/12/,12,navigation,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/blog/page/2/,Next,navigation,200,1,2
baseline,https://robertdevore.com/blog/,https://robertdevore.com/feed/index.xml,RSS,navigation,200,1,unknown
baseline,https://robertdevore.com/blog/,https://robertdevore.com/llms.txt,LLMs,navigation,200,1,unknown
baseline,https://robertdevore.com/blog/,https://robertdevore.com/sitemap.xml,Sitemap,navigation,200,1,unknown
baseline,https://robertdevore.com/blog/page/10/,https://robertdevore.com/,RD:// Robert DeVore,header,200,3,0
baseline,https://robertdevore.com/blog/page/10/,https://robertdevore.com/blog/,Writing,navigation,200,3,1
baseline,https://robertdevore.com/blog/page/10/,https://robertdevore.com/projects/,Projects,navigation,200,3,1
baseline,https://robertdevore.com/blog/page/10/,https://robertdevore.com/about/,About,navigation,200,3,1
