phase,source_url,destination_url,link_type,anchor_text,http_status,evidence,recommended_action
baseline,https://robertdevore.com/invest-in-yourself/,http://www.thesimpledollar.com/best-accounting-software/,external,accounting software,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/invest-in-yourself/,http://www.activistpost.com/wp-content/uploads/2015/12/kush-gods1.jpg,external,Kush Gods,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/invest-in-yourself/,https://en.wikipedia.org/wiki/Sweat_equity/,external,sweat equity,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/leafly-reviews-wordpress-plugin/,http://developer.leafly.com/,external,Leafly Developer,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/leafly-reviews-wordpress-plugin/,http://developer.leafly.com/,external,Leafly Developer Center,404,HTTP Error 404: Not Found,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/mnml-free-minimalist-wordpress-theme/,http://www.deviodigital.com/demo/mnml/,external,live demo,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/mnml-free-minimalist-wordpress-theme/,http://www.deviodigital.com/demo/mnml/,external,test drive,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/my-brothers-keeper-sons-of-anarchy-fanfiction/,https://robertdevore.com/chapter/00/,internal,00 - Prologue,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/my-brothers-keeper-sons-of-anarchy-fanfiction/,https://robertdevore.com/chapter/01/,internal,01 - Chapter 1,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/my-brothers-keeper-sons-of-anarchy-fanfiction/,https://robertdevore.com/chapter/02/,internal,02 - Chapter 2,missing from build,destination absent from canonical generated routes,"update, restore, or intentionally redirect the destination"
baseline,https://robertdevore.com/my-development-projects/,http://www.twitter.com/deviodigital/,external,@DevioDigital,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/my-development-projects/,http://www.twitter.com/deviorobert/,external,Twitter,520,HTTP Error 520: <none>,"verify manually, then update or remove stale destination"
baseline,https://robertdevore.com/peddle-free-wordpress-theme-for-easy-digital-downloads/,http://dictionary.reference.com/browse/peddle/,external,Dictionary,0,"URLError: <urlopen error [Errno 8] nodename nor servname provided, or not known>","verify manually, then update or remove stale destination"
