phase,url,page_depth,internal_inbound_links,internal_outbound_links,external_outbound_links,orphan,pages_over_three_clicks,broken_internal_links,redirect_chain,crawlable_html_links,issues
after,https://robertdevore.com/cannabiz/,3,8,19,22,False,False,0,False,True,
after,https://robertdevore.com/category/,2,12,27,2,False,False,0,False,True,
after,https://robertdevore.com/category/ai-content-systems/,3,3,25,2,False,False,0,False,True,
after,https://robertdevore.com/category/developer-tools/,3,3,22,2,False,False,0,False,True,
after,https://robertdevore.com/category/engineering-archive/,3,3,15,2,False,False,0,False,True,
after,https://robertdevore.com/category/field-notes/,3,3,13,2,False,False,0,False,True,
after,https://robertdevore.com/category/wordpress-archive/,3,3,122,2,False,False,0,False,True,
after,https://robertdevore.com/celebrating-gaad-with-img-a11y-v1-1-0/,3,5,18,8,False,False,0,False,True,
after,https://robertdevore.com/chapters-for-authors-wordpress-plugin/,3,6,19,16,False,False,0,False,True,
after,https://robertdevore.com/clean-blog-free-wordpress-theme/,3,10,19,20,False,False,0,False,True,
after,https://robertdevore.com/complete-beginners-guide-building-a-python-url-checker-for-google-sheets/,2,16,18,3,False,False,0,False,True,
after,https://robertdevore.com/contact/,1,364,12,2,False,False,0,False,True,
after,https://robertdevore.com/creating-my-own-cipher-code/,3,7,18,8,False,False,0,False,True,
after,https://robertdevore.com/customer-loyalty-for-woocommerce-v2/,3,6,19,8,False,False,0,False,True,
after,https://robertdevore.com/db-version-control-wordpress-plugin/,3,5,18,6,False,False,0,False,True,
after,https://robertdevore.com/december-2024-a-retrospective/,3,7,42,46,False,False,0,False,True,
after,https://robertdevore.com/delivery-drivers-for-woocommerce/,3,7,19,9,False,False,0,False,True,
after,https://robertdevore.com/devio-digital/,3,5,22,10,False,False,0,False,True,
after,https://robertdevore.com/dispensary-wordpress-plugins-2017/,3,6,20,34,False,False,0,False,True,
after,https://robertdevore.com/do-less-deliver-more/,2,8,18,3,False,False,0,False,True,
after,https://robertdevore.com/docupress-documentation-plugin-for-wordpress/,3,6,19,11,False,False,0,False,True,
after,https://robertdevore.com/dont-shoot-the-messenger-choose-courage-over-convenience/,3,5,22,8,False,False,0,False,True,
after,https://robertdevore.com/extreme-programming-for-extreme-leaders/,2,8,21,4,False,False,0,False,True,
after,https://robertdevore.com/focus/,3,8,18,6,False,False,0,False,True,
after,https://robertdevore.com/forever-forward/,1,6,21,9,False,False,0,False,True,
after,https://robertdevore.com/going-all-in-one-year-later/,3,6,23,25,False,False,0,False,True,
after,https://robertdevore.com/going-all-in-with-wp-dispensary/,3,12,21,14,False,False,0,False,True,
after,https://robertdevore.com/goodbye-wordpress-a-eulogy/,2,7,23,22,False,False,0,False,True,
after,https://robertdevore.com/grateful-to-see-21-of-my-wordpress-plugins-live-on-at-webdevstudios/,2,115,19,26,False,False,0,False,True,
after,https://robertdevore.com/hello-2017/,3,7,19,6,False,False,0,False,True,
after,https://robertdevore.com/hello-plugin-pal-your-ai-powered-plugin-generator-for-wordpress/,3,5,20,20,False,False,0,False,True,
after,https://robertdevore.com/honoring-jesse-petersen-with-the-revival-of-stealth-login-page/,3,5,18,7,False,False,0,False,True,
after,https://robertdevore.com/host-your-wordpress-plugins-on-github-and-automate-plugin-packaging/,3,6,18,3,False,False,0,False,True,
after,https://robertdevore.com/how-a-security-audit-can-save-your-e-commerce-store-from-disaster/,3,6,22,2,False,False,0,False,True,
after,https://robertdevore.com/how-hungry-are-you/,3,5,18,5,False,False,0,False,True,
after,https://robertdevore.com/how-i-use-textexpander-to-reuse-my-best-ai-prompts/,3,5,19,6,False,False,0,False,True,
after,https://robertdevore.com/how-to-block-website-tracking-data-in-woocommerce/,3,7,20,8,False,False,0,False,True,
after,https://robertdevore.com/how-to-build-a-content-engine-that-scales-with-you/,3,18,20,3,False,False,0,False,True,
